0.007279865594164597,0.0018199663985411492
0.007050263489597604,1.4063401248316063e-05,1.4125556134514823e-05
6.604380887933913e-12,6.488953327280836e-12,0.00640399979454835
1.8601288972744284e-22,0.005455835213309673,1.9309205705523497e-08
3.1560097653910255e-37,0.004359484659952117,0.00045316408011163113
3.2256556875938126e-56,0.0032671798142421275,0.0006350392136565759
1.986012826379981e-79,5.313731494552528e-08,0.002296544656119
2.654927484937704e-16,7.365978737986489e-107,0.001514051773290569
0.0009362040851058075,1.645747651092127e-138,7.920629844170531e-29
0.0005429555934711152,2.2150340055657116e-174,1.4109797093425065e-45
1.5008449051394145e-66,1.7958990598249954e-214,0.00029533986045153423
8.771377839900404e-259,9.53245707791503e-92,0.00015067589965099185
3.615163119873731e-121,7.209904216895259e-05,2.5849536367044252e-244
3.2357813774666585e-05,8.186625683347241e-155,2.4495370660437395e-201
1.398297702401611e-162,1.3620492812286903e-05,1.1069702916454051e-192
4.808389538913362e-128,5.377376508286413e-06,8.937601644918526e-235
9.960565926117293e-98,8.868290858706448e-269,1.991186980185713e-06
1.5084932114215033e-223,6.915404946823371e-07,1.242947416550562e-71
1.5321482446751373e-182,2.252615990729889e-07,9.343419943011602e-50
6.882095316654707e-08,9.292064422534471e-146,4.2310031887329445e-32
3.3649423850938763e-113,1.1541578441198359e-18,1.9720511621224576e-08
7.276073028289692e-85,5.30004609401093e-09,1.8965811662377407e-09
0.0001877422552799076,9.394430597317628e-61,1.3359957895366732e-09
7.24265622350306e-41,0.0011195332554041594,3.1585990929895326e-10
4.021576531822821e-07,7.004028382258601e-11,3.334105034237511e-25
9.164624579149261e-14,8.702420171187863e-15,1.4566837059240285e-11
1.13440499317165e-26,2.8414930718956324e-12,1.5041947804576102e-06
5.198665983334201e-13,8.908007659706039e-43,0.0014741696705397591
4.213833827756704e-63,8.920746577581695e-14,8.626703320882418e-05
3.0143678532901103e-10,1.4357355810766185e-14,1.2007666013397747e-87
6.289290179104473e-20,2.167263410199173e-15,2.0612191340531806e-116
2.1314448596062994e-149,3.0684066015239235e-16,7.835397118548083e-34
5.828736041843855e-52,1.3277258465339505e-186,4.0745353692822e-17
2.589057887012052e-74,5.0746635029382385e-18,4.982268040781928e-228
5.927893350779526e-19,1.1262379004653296e-273,6.866938045117091e-101
6.494675958313325e-20,1.5e-323,1.0875231083716574e-131
1.0284137035056975e-166,0.0,6.673882673056499e-21
0.0,6.432260455020153e-22,5.806991793417135e-206
1.9578912518842924e-249,0.0,5.81450367957286e-23
0.0,4.929758584268265e-24,3.9416668584414684e-297
0.0,3.920149486529935e-25
2.9237725112125937e-26,0.0
0.0,2.0452598980271376e-27
0.0,1.341891499188772e-28
0.0,8.257532170168138e-30
0.0,4.765924093020579e-31
0.0,2.57993011431432e-32
0.0,1.3098836966379764e-33
0.0,6.237657228527325e-35
0.0,2.785955972418278e-36
1.1670540389479332e-37,0.0
4.58534119667836e-39,0.0
0.0,1.6897261394908097e-40
5.840162911237016e-42,0.0
0.0,1.8932047062921634e-43
0.0,5.756177306608265e-45
0.0,1.6414767080408064e-46
0.0,4.3903511793227217e-48
0.0,1.1013561219452783e-49
0.0,2.5913152691145396e-51
0.0,5.718428720896461e-53
0.0,1.1835787089281986e-54
2.2976377090947e-56,0.0
0.0,4.1834051870106875e-58
0.0,7.144013801232166e-60
0.0,1.1442439195434017e-61
0.0,1.7189328675946896e-63
0.0,2.421938953923271e-65
0.0,3.200600310353314e-67
0.0,3.9670134027167954e-69
0.0,2.045817257625274e-290,4.611687456417524e-71
0.0,2.592930204909535e-243,5.0282867859248435e-73
5.142143432666258e-75,0.0,1.9796991057358297e-200
0.0,4.932104929799033e-77,9.105250911315722e-162
0.0,2.522719825634423e-127,4.4369486520119885e-79
0.0,4.210469187817031e-97,3.743695108463528e-81
0.0,2.9626511409937057e-83,4.233273596932617e-71
0.0,2.5639322984003407e-49,2.198996472685019e-85
0.0,9.354512071565042e-32,1.5308495970786003e-87
9.995499224647897e-90,2.0559857360550243e-18,2.8482128294821823e-292
2.7220959281069535e-09,6.121254403882263e-92,5.456407359508621e-245
3.515930997990033e-94,6.2415884597664705e-202,0.00021710564990447942
1.894105787415487e-96,4.2632173064460873e-163,0.0010430933971778261
3.0189758442322467e-07,9.570444145058512e-99,1.7387366431312636e-128
5.26357058179746e-15,4.5354870262136815e-101,4.23432452186394e-98
5.5282240364048364e-27,2.0159499193130622e-103,6.157273837229642e-72
8.404260844855521e-106,3.4976406675973354e-43,5.346219604707895e-50
1.3330582161912898e-63,3.286118962377857e-108,2.7717822917379634e-32
1.2051219974359345e-110,3.060605913972437e-88,8.580753651681833e-19
1.5861554511088286e-09,4.2330176692838545e-117,4.145173568619658e-113
3.526769859371108e-150,0.00017507335671567638,1.3372678411744346e-115
1.7700622127712987e-187,4.046299779490897e-118,0.0011538473726164053
